Mean,Standard_Deviation, Entropy,RMS,Variance,Smoothness,Kurtosis,Skewness,IDM,ACTIVITY
2843.671429,5614.381985,0.591672779,5924.922914,31521285.07,0.999949766,2.06425512,0.878436313,15139.94677,3
25895.5,61130.03892,0.591672779,62238.39925,3736881658,0.999994483,4.961757527,1.951616062,100917.2274,2
1775.91,3722.653527,0.863120569,3877.147147,13858149.28,0.999919565,1.909381636,0.726006557,9992.707557,0
4715.015714,10754.55665,0.863120569,11016.75701,115660488.8,0.999969703,3.981223795,1.53299704,21599.33217,0
5277.114286,10775.49176,0.591672779,11285.91336,116111222.7,0.99997293,3.898705479,1.545287357,23594.48376,4
29325.2,64136.20253,0,66225.25019,4113452475,0.999995129,5.076447849,2.001482214,106270.2485,3
12921.18571,29443.55843,0.591672779,30166.76999,866923133.1,0.999988944,4.830728116,1.89657821,51517.00052,5
1304.597143,3105.121543,0.591672779,3156.953656,9641779.797,0.999890509,2.557563593,0.867832976,8518.578208,4
7261.071429,16529.95901,0.863120569,16938.96345,273239545,0.999980326,4.477546466,1.744627192,30954.17511,0
15031.77143,34721.17219,0.591672779,35486.49211,1205559798,0.999990496,4.88592428,1.919497957,59371.19533,3
2090.418571,3951.881932,0.591672779,4213.806787,15617370.8,0.999931666,1.89029582,0.839048237,11472.39421,5
3901.111429,7787.212414,0.591672779,8197.340647,60640677.18,0.999963382,2.577865351,1.057346325,19692.43483,4
4719.282857,10290.64631,0.863120569,10632.06622,105897401.6,0.99996973,4.063592721,1.579594973,21000.00127,0
6530.412857,13911.69773,0.591672779,14440.69669,193535333.6,0.999978125,4.40348866,1.728586398,27640.08521,4
15193.3,34973.96038,0.863120569,35766.94799,1223177905,0.999990597,4.866138256,1.911502752,60338.42489,0
14232.42857,32526.22329,0.591672779,33307.36806,1057955201,0.999989963,4.997289717,1.968284504,54332.56457,3
2264.658571,4567.45922,0.591672779,4796.886661,20861683.73,0.999936923,2.985507557,1.185783493,10971.93672,4
2911.268571,5846.234153,0.591672779,6145.836168,34178453.77,0.999950932,2.945714198,1.183531762,14190.09129,3
